nbsujet act10 act100 act1000
528 78 78 80
529 73 73 78
530 93 93 69
531 93 93 81
532 94 94 55
533 93 93 84
534 95 95 93
535 91 91 77
536 93 93 72
537 92 92 72
538 93 93 44
539 90 90 59
540 87 87 70
541 75 75 76
542 97 97 91
543 98 98 51
544 92 92 70
545 93 93 69
546 74 74 79
547 90 90 82
548 79 79 83
549 87 87 79
550 87 87 83
551 80 80 82
552 93 93 75
553 95 95 89
554 79 79 80
555 93 93 44
556 89 89 60
557 77 77 79
558 69 69 77
559 75 75 81
560 96 96 81
561 70 70 79
562 93 93 44
563 93 93 73
564 93 93 44
565 93 93 71
566 92 92 68
567 94 94 83
568 87 87 83
569 86 86 63
570 87 87 76
571 78 78 79
572 92 92 76
573 99 99 68
574 93 93 83
575 70 70 82
576 93 93 90
577 93 93 44
578 90 90 69
579 68 68 80
580 80 80 81
581 93 93 44
582 93 93 45
583 93 93 44
584 93 93 83
585 93 93 45
586 73 73 83
587 90 90 91
588 93 93 44
589 76 76 84
590 93 93 77
591 77 77 79
592 93 93 83
593 67 67 79
594 84 84 85
595 67 67 83
596 93 93 78
597 93 93 85
598 90 90 80
599 93 93 44
600 96 96 54
601 93 93 74
602 91 91 60
603 55 55 81
604 98 98 79
605 93 93 72
606 87 87 88
607 67 67 82
608 97 97 53
609 100 100 51
610 82 82 83
611 92 92 77
612 93 93 76
613 89 89 89
614 93 93 77
615 93 93 75
616 93 93 82
617 87 87 75
618 143 143 90
619 83 83 82
620 54 54 82
621 93 93 92
622 93 93 88
623 99 99 93
624 124 124 71
625 81 81 82
626 67 67 82
627 93 93 44
628 93 93 85
629 90 90 88
630 86 86 80
631 75 75 82
632 93 93 44
633 90 90 60
634 58 58 78
635 86 86 87
636 94 94 74
637 82 82 83
638 89 89 61
639 93 93 44
640 99 99 85
641 93 93 75
642 79 79 80
643 92 92 70
644 92 92 93
645 99 99 52
646 80 80 83
647 93 93 44
648 93 93 81
649 79 79 80
650 92 92 93
651 93 93 44
652 98 98 80
653 90 90 60
654 93 93 57
655 93 93 45
656 93 93 73
657 96 96 70
658 96 96 90
659 83 83 84
660 95 95 86
661 87 87 88
662 93 93 91
663 93 93 69
664 93 93 67
665 95 95 54
666 93 93 90
667 85 85 86
668 88 88 89
669 84 84 77
670 98 98 73
671 87 87 78
672 55 55 82
673 89 89 62
674 141 141 88
675 93 93 91
676 93 93 74
677 140 140 87
678 93 93 87
679 123 123 70
680 73 73 85
681 141 141 88
682 93 93 78
683 98 98 52
684 141 141 88
685 133 133 83
686 137 137 84
687 93 93 71
688 144 144 91
689 140 140 87
690 126 126 83
691 78 78 81
692 91 91 58
693 93 93 77
694 129 129 76
695 121 121 68
696 93 93 44
697 92 92 87
698 127 127 74
699 87 87 83
700 93 93 82
701 134 134 81
702 88 88 61
703 93 93 44
704 82 82 83
705 93 93 87
706 83 83 83
707 72 72 80
708 53 53 90
709 88 88 61
710 123 123 70
711 90 90 78
712 69 69 80
713 97 97 53
714 88 88 92
715 135 135 82
716 59 59 77
717 128 128 75
718 93 93 90
719 91 91 59
720 97 97 54
721 129 129 76
722 137 137 84
723 78 78 77
724 54 54 93
725 93 93 75
726 132 132 79
727 83 83 76
728 93 93 69
729 93 93 78
730 93 93 71
731 93 93 44
732 91 91 89
733 94 94 56
734 84 84 76
735 144 144 91
736 93 93 75
737 93 93 86
738 93 93 68
739 142 142 89
740 124 124 71
741 93 93 44
742 93 93 88
743 93 93 86
744 93 93 83
745 140 140 87
746 88 88 61
747 91 91 60
748 92 92 58
749 93 93 67
750 124 124 71
751 74 74 82
752 93 93 75
753 87 87 72
754 93 93 84
755 84 84 84
756 95 95 87
757 97 97 53
758 66 66 79
759 93 93 44
760 137 137 84
761 129 129 82
762 91 91 91
763 94 94 73
764 93 93 87
765 93 93 44
766 54 54 82
767 93 93 57
768 92 92 80
769 92 92 78
770 93 93 44
771 143 143 90
772 144 144 91
773 129 129 76
774 93 93 88
775 93 93 91
776 134 134 81
777 89 89 76
778 87 87 70
779 127 127 74
780 93 93 44
781 93 93 44
782 93 93 87
783 93 93 58
784 93 93 88
785 96 96 55
786 58 58 78
787 93 93 79
788 88 88 77
789 88 88 87
790 94 94 67
791 84 84 82
792 126 126 73
793 90 90 71
794 60 60 82
795 93 93 44
796 98 98 88
797 88 88 78
798 120 120 67
799 70 70 80
800 66 66 82
801 133 133 80
802 59 59 83
803 93 93 45
804 98 98 52
805 76 76 82
806 136 136 83
807 66 66 84
808 70 70 78
809 123 123 70
810 124 124 71
811 99 99 51
812 93 93 68
813 135 135 83
814 145 145 92
815 123 123 82
816 93 93 44
817 93 93 45
818 91 91 76
819 93 93 57
820 139 139 86
821 93 93 44
822 76 76 80
823 93 93 69
824 129 129 76
825 130 130 77
826 93 93 44
827 128 128 75
828 91 91 59
829 137 137 84
830 90 90 70
831 122 122 69
832 74 74 78
833 131 131 78
834 89 89 76
835 60 60 76
836 92 92 87
837 138 138 85
838 89 89 92
839 93 93 83
840 65 65 80
841 93 93 44
842 138 138 85
843 134 134 81
844 91 91 92
845 129 129 78
846 123 123 70
847 93 93 44
848 93 93 44
849 121 121 68
850 93 93 44
851 93 93 44
852 132 132 79
853 93 93 88
854 93 93 44
855 137 137 84
856 93 93 80
857 76 76 81
858 53 53 83
859 98 98 52
860 55 55 81
861 92 92 58
862 146 146 93
863 54 54 82
864 98 98 86
865 135 135 82
866 58 58 79
867 93 93 44
868 93 93 44
869 58 58 87
870 131 131 78
871 93 93 75
872 87 87 63
873 90 90 75
874 124 124 71
875 85 85 81
876 90 90 90
877 127 127 74
878 125 125 76
879 67 67 82
880 93 93 72
881 93 93 44
882 97 97 53
883 89 89 76
884 132 132 82
885 93 93 76
886 93 93 75
887 96 96 84
888 93 93 44
889 93 93 88
890 133 133 80
891 87 87 69
892 132 132 79
893 130 130 83
894 141 141 88
895 124 124 71
896 72 72 76
897 93 93 44
898 59 59 88
899 93 93 78
900 127 127 80
901 95 95 90
902 93 93 44
903 133 133 80
904 129 129 76
905 41 41 85
906 83 83 44
907 66 66 81
908 84 84 44
909 137 137 84
910 98 98 62
911 84 84 78
912 129 129 76
913 74 74 75
914 120 120 67
915 137 137 84
916 122 122 69
917 93 93 69
918 74 74 83
919 146 146 93
920 47 47 76
921 125 125 72
922 127 127 74
923 140 140 87
924 73 73 71
925 75 75 44
926 125 125 72
927 68 68 81
928 121 121 68
929 44 44 79
930 35 35 74
931 88 88 80
932 40 40 81
933 92 92 76
934 120 120 79
935 124 124 71
936 128 128 75
937 144 144 91
938 93 93 71
939 129 129 76
940 134 134 81
941 120 120 67
942 131 131 78
943 122 122 69
944 96 96 86
945 121 121 68
946 67 67 70
947 98 98 62
948 75 75 45
949 81 81 44
950 129 129 76
951 99 99 63
952 66 66 44
953 37 37 78
954 122 122 79
955 137 137 84
956 7 7 86
957 122 122 69
958 73 73 87
959 78 78 76
960 44 44 79
961 144 144 91
962 94 94 58
963 81 81 44
964 127 127 74
965 13 13 92
966 142 142 89
967 94 94 91
968 141 141 88
969 133 133 83
970 73 73 81
971 143 143 90
972 72 72 83
973 136 136 83
974 125 125 82
975 123 123 70
976 126 126 83
977 90 90 82
978 96 96 60
979 95 95 59
980 97 97 61
981 40 40 83
982 41 41 88
983 100 100 79
984 91 91 81
985 120 120 81
986 97 97 85
987 129 129 76
988 122 122 69
989 74 74 44
990 98 98 62
991 140 140 87
992 144 144 91
993 74 74 83
994 143 143 90
995 92 92 44
996 124 124 71
997 77 77 83
998 69 69 76
999 142 142 89
