nbsujet act10 act100 act1000
674 57 57 31
675 55 55 37
676 55 55 37
677 54 54 36
678 55 55 30
679 32 32 48
680 55 55 28
681 53 53 34
682 57 57 30
683 48 48 48
684 55 55 28
685 50 50 48
686 48 48 45
687 51 51 36
688 53 53 48
689 54 54 36
690 55 55 34
691 51 51 48
692 35 35 51
693 55 55 29
694 55 55 28
695 52 52 37
696 55 55 33
697 55 55 36
698 55 55 35
699 36 36 44
700 55 55 28
701 58 58 37
702 53 53 34
703 49 49 45
704 51 51 36
705 56 56 31
706 55 55 30
707 55 55 31
708 55 55 30
709 53 53 35
710 55 55 33
711 33 33 47
712 56 56 35
713 55 55 30
714 52 52 35
715 51 51 37
716 55 55 28
717 51 51 36
718 55 55 28
719 51 51 36
720 51 51 37
721 55 55 31
722 58 58 31
723 53 53 47
724 55 55 37
725 53 53 46
726 55 55 32
727 51 51 49
728 30 30 50
729 57 57 31
730 54 54 33
731 50 50 49
732 54 54 36
733 34 34 46
734 55 55 36
735 55 55 32
736 56 56 31
737 55 55 29
738 57 57 30
739 55 55 31
740 56 56 33
741 55 55 31
742 51 51 37
743 55 55 29
744 55 55 32
745 53 53 36
746 55 55 33
747 55 55 32
748 54 54 33
749 55 55 29
750 55 55 33
751 55 55 28
752 33 33 47
753 50 50 45
754 33 33 47
755 55 55 34
756 55 55 30
757 55 55 36
758 57 57 32
759 57 57 30
760 51 51 49
761 55 55 35
762 33 33 48
763 47 47 50
764 55 55 28
765 30 30 50
766 54 54 36
767 55 55 34
768 55 55 32
769 55 55 30
770 49 49 48
771 55 55 31
772 55 55 36
773 36 36 45
774 55 55 34
775 58 58 30
776 51 51 36
777 34 34 46
778 32 32 50
779 53 53 35
780 32 32 49
781 51 51 36
782 51 51 36
783 49 49 50
784 51 51 47
785 55 55 33
786 55 55 30
787 55 55 28
788 51 51 48
789 56 56 31
790 55 55 31
791 56 56 33
792 51 51 44
793 51 51 36
794 54 54 34
795 55 55 30
796 57 57 30
797 57 57 31
798 56 56 31
799 55 55 30
800 53 53 35
801 36 36 44
802 55 55 28
803 53 53 44
804 55 55 28
805 33 33 48
806 55 55 34
807 31 31 49
808 33 33 47
809 55 55 31
810 56 56 31
811 55 55 28
812 31 31 49
813 57 57 30
814 36 36 44
815 55 55 29
816 35 35 45
817 35 35 45
818 55 55 30
819 55 55 30
820 32 32 48
821 31 31 49
822 36 36 45
823 52 52 35
824 34 34 46
825 57 57 30
826 54 54 33
827 51 51 36
828 57 57 31
829 54 54 34
830 52 52 35
831 51 51 37
832 55 55 36
833 36 36 44
834 32 32 48
835 55 55 35
836 34 34 46
837 53 53 34
838 35 35 45
839 58 58 32
840 56 56 37
841 56 56 36
842 30 30 50
843 55 55 35
844 55 55 35
845 33 33 47
846 34 34 47
847 55 55 32
848 51 51 36
849 36 36 44
850 53 53 34
851 55 55 28
852 55 55 33
853 55 55 28
854 34 34 46
855 52 52 35
856 46 46 46
857 51 51 36
858 56 56 31
859 55 55 29
860 30 30 50
861 55 55 32
862 36 36 44
863 56 56 31
864 36 36 44
865 55 55 28
866 37 37 44
867 55 55 35
868 55 55 28
869 53 53 36
870 55 55 29
871 54 54 33
872 53 53 36
873 55 55 28
874 54 54 33
875 55 55 32
876 56 56 31
877 52 52 35
